81133	9	65535	6553¨²¢ŠÊJ65535	1.39	0.00
2099	8	2895	4147	4443	3270	21.99	24.09
2108	9	2959	4347	3863	3125	24.28	23.22
2116	8	2926	4402	4095	3045	23.76	23.15
2126	10	2875	4462	4044	3382	22.84	23.12
2134	8	2871	4105	4405	3245	22.18	24.32
2142	8	2929	4305	4083	3094	23.64	23.45
2150	8	3062	4359	3799	3008	24.92	22.86
2159	9	2591	4435	4011	3360	23.02	24.15
2168	9	2925	3822	4381	1	38.71	25.14
2176	8	2910	4526	4056	2815	24.69	22.81
2185	9	3048	4581	3777	2900	25.41	22.24
2194	9	2572	4149	3981	3336	23.19	25.24
2202	8	2903	3792	4090	3163	23.39	25.34
2210	8	2891	4242	4029	2793	24.87	23.78
2218	8	3034	4560	4001	2885	24.64	22.34
2228	10	2822	4138	3968	3331	23.24	24.37
2236	8	2897	3783	4080	3155	23.45	25.40
2244	8	2884	4227	4018	2784	24.94	23.86
2252	8	3013	4533	3940	2867	24.92	22.48
2261	9	2804	3838	3945	3309	23.39	25.54
2270	9	2625	4016	25442	3139	5.94	25.55
2278	8	2830	4102	3999	3026	24.15	24.47
2287	9	3005	4521	3931	2861	24.98	22.54
2296	9	2800	3824	3933	3162	23.91	25.61
2304	8	2617	4005	3850	3131	24.30	25.62
2312	8	2820	4340	3730	2934	25.46	23.69
2320	8	2737	4250	3918	2847	25.08	24.28
2330	10	2791	4068	3918	3150	24.00	24.73
2338	8	2862	4437	4095	3117	23.52	23.24
2347	9	2819	4339	3689	2931	25.63	23.70
2355	8	2784	3828	3912	2845	25.11	25.66
2364	9	2788	4062	4026	3149	23.64	24.77
2372	8	2844	4422	3833	2746	25.79	23.35
2380	8	3052	4306	3660	2912	25.81	23.06
2389	9	2763	3800	3885	3518	22.92	25.85
2398	9	2772	4037	3998	3126	23.81	24.92
2406	8	2834	4413	3692	2735	26.40	23.41
2414	8	2799	4228	3663	2918	25.78	24.14
2422	8	2770	3814	24952	3524	5.96	25.77
2432	10	2596	3978	4011	3106	23.84	25.81
2440	8	2838	4168	3700	2741	26.34	24.21
2449	9	2723	4226	3926	2834	25.10	24.41
2457	8	2761	4049	3888	3514	22.92	24.91
2466	9	2581	3957	4058	3091	23.73	25.95
2474	8	2823	4296	3685	2983	25.44	23.83
2482	8	2713	4204	3875	2819	25.34	24.53
2491	9	2765	4026	3883	3118	24.23	24.98
2500	9	2578	3957	4054	3089	23.75	25.96
2509	9	3047	4299	3783	2909	25.35	23.09
2517	8	2713	4206	3873	2821	25.34	24.52
2525	8	2762	4025	3988	3117	23.88	25.00
2533	8	2834	4392	4052	3087	23.76	23.48
2541	8	3042	4288	3641	2643	27.00	23.14
2550	9	2746	3778	3867	3242	23.86	26.00
2558	8	2753	4013	3974	3111	23.94	25.07
2566	8	3071	4386	3787	2713	26.10	22.75
2574	8	2782	4288	3639	2898	25.95	24.00
2582	8	2752	3781	3866	3244	23.86	25.97
2590	8	2755	3945	3975	3110	23.94	25.32
2598	8	2817	4386	3673	2713	26.57	23.55
2607	9	2702	4192	3895	3067	24.37	24.61
2615	8	2748	4032	3864	3242	23.87	25.02
2624	9	2569	3939	3971	3075	24.08	26.07
2632	8	2811	4125	3667	2963	25.59	24.46
2640	8	2705	4192	3856	3065	24.51	24.60
2649	9	2752	4010	3861	3242	23.88	25.09
2658	9	2569	3940	4038	3075	23.85	26.06
2667	9	2777	4274	3666	2891	25.87	24.06
2675	8	2701	4183	3856	2804	25.47	24.64
2683	8	2753	4007	3966	3103	24.00	25.10
2692	9	2821	4376	4033	3072	23.88	23.57
2700	8	2775	4277	3630	2889	26.02	24.06
2709	9	2742	3770	3851	3236	23.94	26.05
2717	8	2749	4006	3967	3103	24.00	25.11
2727	10	3063	4375	3777	2706	26.17	22.81
2735	8	2772	4270	3627	2888	26.04	24.09
2743	8	2741	3766	3855	3233	23.93	26.07
2751	8	2746	3928	3965	2586	25.90	25.42
2760	9	3059	4370	3654	2960	25.65	22.84
2769	9	2695	4176	3880	3054	24.47	24.69
2777	8	2738	4021	3851	3229	23.96	25.10
2785	8	2562	3931	4028	2811	24.81	26.13
2794	9	2805	4118	3656	2957	25.65	24.50
2802	8	2697	4183	3847	3059	24.57	24.66
2811	9	2749	4004	3852	3099	24.41	25.12
2819	8	2563	3934	4028	2813	24.80	26.11
2829	10	2773	4271	3656	2884	25.94	24.08
2837	8	2696	4181	3848	2800	25.52	24.67
2845	8	2747	4001	3961	3097	24.04	25.14
2853	8	2816	4374	4028	2956	24.29	23.59
2862	9	2768	4266	3620	2884	26.08	24.12
2871	9	2741	3763	3843	3230	23.99	26.08
2879	8	2745	3999	3957	3094	24.06	25.16
2888	9	2805	4370	3653	2959	25.66	23.64
2897	9	2772	4269	3621	2882	26.09	24.09
2905	8	2738	3764	3849	3230	23.96	26.09
2913	8	2815	3930	3959	2808	25.07	25.15
2921	8	2805	4374	3654	2959	25.65	23.63
2931	10	2695	4180	3844	3057	24.58	24.68
2939	8	2738	4021	3846	3233	23.96	25.10
2947	8	2560	3931	4028	2811	24.81	26.14
2955	8	2806	4270	3652	2886	25.95	23.97
2964	9	2693	4182	3847	3056	24.58	24.68
2973	9	2742	4001	3852	3095	24.42	25.16
2981	8	2561	3929	277	1	610.24	26.14
2990	9	2768	4265	3620	2878	26.11	24.12
2999	9	2694	3666	3843	3311	23.71	26.67
3007	8	2742	3998	3957	3092	24.07	25.17
3015	8	2803	4368	3767	2955	25.24	23.66
3023	8	2770	4269	3621	2880	26.10	24.10
3033	10	2741	3765	3853	3229	23.95	26.08
3041	8	2748	4001	3962	3096	24.04	25.14
3050	9	3063	4371	3654	2959	25.65	22.82
3058	8	2772	4181	3879	3058	24.46	24.40
3066	8	2743	3762	3855	3229	23.95	26.08
3074	8	2815	3926	3962	2809	25.05	25.17
3082	8	2804	4115	3654	2958	25.66	24.52
3091	9	2692	4180	3845	3056	24.58	24.69
3099	8	2738	4020	3855	3227	23.95	25.10
3107	8	2813	3924	4026	2808	24.82	25.18
3115	8	2769	4269	3655	2880	25.96	24.10
3123	8	2693	4178	3847	2799	25.53	24.69
3132	9	2743	3998	3959	3095	24.05	25.17
3140	8	2813	3926	4029	3061	23.93	25.17
3149	9	2772	4268	3624	2882	26.08	24.10
3157	8	2695	3767	3845	3228	23.99	26.25
3165	8	2745	4003	3962	3097	24.03	25.14
3173	8	2807	4375	3774	2960	25.19	23.62
3181	8	2770	4273	3622	2883	26.08	24.09
3191	10	2739	3767	3851	3228	23.96	26.08
3199	8	2744	4002	3960	2806	25.07	25.15
3208	9	2805	4372	3655	2955	25.67	23.64
3216	8	2770	4185	3880	3058	24.45	24.39
3225	9	2740	3767	3848	3231	23.96	26.07
3233	8	2561	3930	4029	2809	24.81	26.14
3241	8	3062	4117	3654	2959	25.65	23.63
3250	9	2697	4184	3848	3059	24.56	24.65
3259	9	2742	4006	3851	3098	24.41	25.14
3267	8	2563	3933	4031	2812	24.79	26.12
3275	8	2773	4272	3628	2881	26.06	24.08
3283	8	2699	4184	3847	2804	25.51	24.65
3292	9	2745	4000	3960	3096	24.04	25.15
3300	8	2818	3931	4031	2958	24.27	25.14
3309	9	2773	4270	3624	2884	26.07	24.09
3317	8	2695	3765	3848	3229	23.97	26.26
3326	9	2744	4003	3960	3094	24.05	25.14
3334	8	3062	4375	3657	2959	25.64	22.81
3342	8	2769	4271	3620	3059	25.40	24.10
3351	9	2739	3769	3852	3226	23.97	26.07
3360	9	2748	3932	3962	2808	25.06	25.40
3369	9	3062	4377	3659	2961	25.63	22.80
3377	8	2695	4186	3848	3059	24.56	24.65
3385	8	2743	3771	3854	3229	23.95	26.04
3394	9	2560	3932	4029	2813	24.79	26.13
3402	8	2807	4118	3659	2882	25.94	24.50
3411	9	2694	4183	3847	3059	24.57	24.67
3419	8	2740	4002	3849	3096	24.43	25.16
3429	10	2815	3929	4027	3065	23.92	25.16
3437	8	2769	4270	3624	2878	26.09	24.10
3445	8	2695	4185	3844	3228	23.99	24.66
3453	8	2747	4003	3961	3098	24.03	25.13
3462	9	2816	4443	3770	2961	25.20	23.37
3471	9	2775	4274	3623	2886	26.06	24.07
3479	8	2697	3773	3851	3232	23.95	26.22
3487	8	2748	4008	3962	3103	24.01	25.11
3496	9	3067	4378	3659	2963	25.62	22.79
3504	8	2772	4275	3886	3060	24.42	24.07
3513	9	2742	3770	3853	3233	23.94	26.05
3521	8	2747	3932	3962	2813	25.04	25.40
3531	10	3064	4376	3657	2962	25.63	22.80
3539	8	2698	4187	3850	3062	24.54	24.64
3547	8	2740	3770	3850	3228	23.97	26.06
3555	8	2562	3933	4028	2810	24.81	26.12
3564	9	2809	4122	3656	2883	25.94	24.48
3573	9	2696	4186	3849	2804	25.50	24.65
3581	8	2743	4008	3962	3103	24.01	25.13
3590	9	2563	3933	4030	3068	23.90	26.12
3599	9	2772	4273	3624	2885	26.06	24.08
3607	8	2698	4187	3849	3231	23.96	24.64
3615	8	2749	4007	3966	3101	24.01	25.11
3623	8	2819	4444	3776	2962	25.18	23.36
3632	9	2771	4274	24952	2	6.80	24.08
3640	8	2696	3768	3871	3228	23.90	26.24
3648	8	2746	4002	3710	2590	26.93	25.14
3656	8	3063	4374	3661	2963	25.61	22.81
3664	8	2772	4271	3879	3064	24.43	24.09
3673	9	2740	3769	3853	3228	23.96	26.06
3681	8	2748	3935	4032	2810	24.79	25.38
3690	9	3064	4382	3658	2965	25.61	22.78
3698	8	2697	4193	2400	2809	32.57	24.62
3706	8	2745	4030	3855	3105	24.37	25.04
3714	8	2565	3939	4037	2815	24.76	26.08
3723	9	2808	4129	3663	2888	25.90	24.46
3732	9	2694	4188	3851	2807	25.48	24.65
3740	8	2743	4006	3964	3102	24.01	25.14
3749	9	2562	3931	4029	2962	24.27	26.13
3758	9	2770	4272	3623	2881	26.08	24.09
3766	8	2695	4184	3850	3228	23.97	24.66
3774	8	2747	4002	3964	3098	24.02	25.14
3782	8	2817	4375	3656	2960	25.64	23.59
3792	10	2772	4277	24952	2880	6.10	24.07
