2196	8	56281	65535	65535	65535	0.00	1.39
2204	8	56281	65535	65535	65535	0.00	1.39
2214	10	56281	65535	65535	65535	0.00	1.39
2222	8	56281	65535	65535	65535	0.00	1.39
2230	8	56281	65535	65535	65535	0.00	1.39
2238	8	56281	65535	65535	65535	0.00	1.39
2246	8	56281	65535	65535	65535	0.00	1.39
2255	9	56281	65535	65535	65535	0.00	1.39
2263	8	56281	65535	65535	65535	0.00	1.39
2272	9	56281	65535	65535	65535	0.00	1.39
2280	8	56281	65535	65535	65535	0.00	1.39
2288	8	56281	65535	65535	65535	0.00	1.39
2296	8	56281	65535	65535	65535	0.00	1.39
2304	8	56281	65535	65535	65535	0.00	1.39
2313	9	56281	65535	65535	65535	0.00	1.39
2321	8	56281	65535	65535	65535	0.00	1.39
2329	8	56281	65535	65535	65535	0.00	1.39
2337	8	56281	65535	65535	65535	0.00	1.39
2345	8	56281	65535	65535	65535	0.00	1.39
2353	8	56281	65535	65535	65535	0.00	1.39
2361	8	56281	65535	65535	65535	0.00	1.39
2371	10	56281	65535	65535	65535	0.00	1.39
2379	8	56281	65535	65535	65535	0.00	1.39
2387	8	56281	65535	65535	65535	0.00	1.39
2395	8	56281	65535	65535	65535	0.00	1.39
2404	9	56281	65535	65535	65535	0.00	1.39
2413	9	56281	65535	65535	65535	0.00	1.39
2421	8	56281	65535	65535	65535	0.00	1.39
2430	9	56281	65535	65535	65535	0.00	1.39
2439	9	35793	65535	65535	65535	0.00	1.67
2447	8	35793	65535	65535	65535	0.00	1.67
2455	8	35793	65535	42563	65535	1.57	1.67
2463	8	35793	41895	42563	65535	1.57	2.18
2473	10	35793	41894	42563	27748	2.41	2.18
2481	8	35793	41894	42563	27748	2.41	2.18
2489	8	23331	41894	42563	27748	2.41	2.60
2497	8	23330	41894	32327	27748	2.82	2.60
2506	9	23330	31522	32326	27748	2.82	3.09
2514	8	23330	31267	32326	22052	3.12	3.11
2522	8	23330	31267	32326	22052	3.12	3.11
2531	9	19790	31267	32326	22052	3.12	3.32
2540	9	19790	31267	27354	22052	3.43	3.32
2548	8	19790	27212	27354	18984	3.66	3.61
2556	8	19790	27212	27354	18984	3.66	3.61
2564	8	18307	27212	27354	18984	3.66	3.73
2573	9	18307	27212	24911	18984	3.86	3.73
2581	8	18307	24771	24911	20158	3.76	3.94
2589	8	18307	24771	24911	20158	3.76	3.94
2597	8	16946	24771	24911	20158	3.76	4.07
2606	9	16946	24771	23869	20158	3.85	4.07
2614	8	16946	24308	23869	17950	4.06	4.11
2622	8	16946	24308	23869	17951	4.06	4.11
2631	9	15954	24308	23869	17951	4.06	4.21
2640	9	15954	24100	21551	17951	4.29	4.24
2648	8	15954	24101	21551	17101	4.39	4.24
2656	8	14550	24101	21551	17101	4.39	4.39
2664	8	14806	24101	19981	17101	4.57	4.36
2673	9	14806	22558	19981	15589	4.77	4.54
2681	8	14806	22558	19981	15844	4.74	4.54
2690	9	14492	22558	20521	15844	4.67	4.58
2698	8	14492	21060	20520	15296	4.74	4.77
2707	9	14492	21061	20520	15040	4.77	4.77
2715	8	14041	21061	20520	15040	4.77	4.83
2723	8	14041	20199	19777	14016	5.02	4.95
2731	8	14041	20198	19777	14187	4.99	4.95
2740	9	14018	20198	19777	14187	4.99	4.96
2749	9	14018	19500	19221	14187	5.08	5.06
2757	8	14018	19501	19221	15974	4.82	5.06
2765	8	13520	19501	19221	15974	4.82	5.14
2774	9	13776	19665	19417	15974	4.79	5.07
2782	8	13776	19921	19416	14821	4.96	5.03
2791	9	13220	19921	19416	14821	4.96	5.12
2799	8	13221	19921	18230	14821	5.13	5.12
2807	8	13221	20416	17975	14520	5.22	5.04
2815	8	12647	20416	17975	14520	5.22	5.13
2823	8	12647	19420	17178	14520	5.35	5.29
2831	8	12647	19420	17178	13663	5.50	5.29
2839	8	12579	19420	17178	13663	5.50	5.30
2848	9	12579	18780	17805	13663	5.39	5.41
2856	8	12579	18524	17805	13160	5.48	5.45
2864	8	12508	18524	17805	13160	5.48	5.47
2872	8	12508	18076	17522	12694	5.61	5.55
2880	8	12508	18077	17522	12695	5.61	5.55
2888	8	12541	18077	17038	12695	5.71	5.54
2896	8	12541	17497	17295	14659	5.31	5.65
2905	9	12541	17497	17295	14403	5.35	5.65
2913	8	12421	17497	17911	14403	5.25	5.67
2921	8	12421	18268	17655	13377	5.47	5.53
2930	9	11839	18268	17655	13633	5.42	5.63
2938	8	12094	18268	16481	13633	5.63	5.59
2947	9	12094	18710	16480	13324	5.69	5.51
2955	8	11696	18710	16480	13324	5.69	5.58
2964	9	11697	18194	15897	13324	5.81	5.68
2972	8	11697	18195	15897	12780	5.92	5.68
2980	8	11722	18195	15897	12780	5.92	5.67
2988	8	11722	17261	16651	12550	5.81	5.85
2997	9	11722	17260	16651	12294	5.86	5.85
3006	9	11683	17260	16643	12294	5.86	5.86
3014	8	11683	16972	16387	11881	6.00	5.92
3022	8	12095	16972	16387	11881	6.00	5.84
3031	9	11838	16524	16262	11881	6.03	5.98
3039	8	11838	16525	16262	13604	5.68	5.98
3047	8	11743	16525	16262	13604	5.68	6.00
3055	8	11743	17337	16741	13254	5.66	5.83
3065	10	11743	17337	16741	12999	5.70	5.83
3073	8	11597	17337	15819	12999	5.89	5.86
3081	8	11597	17892	15818	12501	5.99	5.75
3089	8	11135	17892	15818	12756	5.94	5.84
3098	9	11134	17318	15184	12756	6.07	5.96
3107	9	11134	17318	15184	12184	6.20	5.96
3115	8	11221	17318	16162	12184	5.98	5.94
3123	8	11221	16547	15906	11764	6.13	6.11
3132	9	11207	16547	15906	11764	6.13	6.11
3140	8	11206	16117	15448	11764	6.23	6.21
3148	8	11206	16372	15704	11428	6.25	6.15
3156	8	11431	16372	15704	11428	6.25	6.10
3166	10	11431	15984	15679	12904	5.94	6.19
3174	8	11431	15984	15679	13160	5.88	6.19
3182	8	11356	15984	16195	13160	5.78	6.21
3190	8	11356	16756	16194	12579	5.90	6.03
3199	9	10948	16756	16194	12579	5.90	6.12
3207	8	11205	17312	15315	12579	6.08	5.95
3215	8	11205	17313	15315	12363	6.13	5.95
